#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Special,Speed,Legendary
59,Arcanine,Fire,,555,82,110,88,88,98,False
107,Hitmonchan,Fighting,,455,47,97,84,74,79,False
123,Scyther,Bug,Flying,500,63,113,86,64,109,False
35,Clefairy,Normal,,323,67,54,46,60,36,False
76,Golem,Rock,Ground,495,68,127,137,59,45,False
13,Weedle,Bug,Poison,195,35,41,23,26,45,False
126,Magmar,Fire,,495,56,91,59,93,103,False
145,Zapdos,Electric,Flying,580,90,97,86,102,103,True
120,Staryu,Water,,340,25,56,60,60,78,False
94,Gengar,Ghost,Poison,500,57,67,52,100,123,False
29,Nidoran♀,Poison,,275,61,54,57,34,35,False
10,Caterpie,Bug,,195,35,22,31,28,51,False
134,Vaporeon,Water,,525,131,65,71,94,70,False
133,Eevee,Normal,,325,62,49,60,54,46,False
129,Magikarp,Water,,200,28,6,50,17,82,False
47,Parasect,Bug,Grass,405,69,86,77,68,38,False
46,Paras,Bug,Grass,285,34,75,50,54,18,False
150,Mewtwo,Psychic,,680,109,108,91,118,136,True
84,Doduo,Normal,Flying,310,39,92,37,38,67,False
11,Metapod,Bug,,205,50,13,59,30,22,False
108,Lickitung,Normal,,385,92,45,81,74,20,False
66,Machop,Fighting,,305,61,89,53,34,34,False
70,Weepinbell,Grass,Poison,390,68,82,43,70,58,False
125,Electabuzz,Electric,,490,62,77,48,94,115,False
29,Nidoran♀,Poison,,275,60,42,51,38,47,False
48,Venonat,Bug,Poison,305,56,60,42,50,48,False
109,Koffing,Poison,,340,45,58,107,50,29,False
142,Aerodactyl,Rock,Flying,515,92,98,58,72,123,False
3,Venusaur,Grass,Poison,525,76,84,87,104,70,False
64,Kadabra,Psychic,,400,51,30,29,92,107,False
12,Butterfree,Bug,Flying,395,57,55,44,86,68,False
62,Poliwrath,Water,Fighting,510,93,105,93,74,71,False
71,Victreebel,Grass,Poison,490,81,95,60,89,76,False
73,Tentacruel,Water,Poison,515,79,70,55,104,102,False
123,Scyther,Bug,Flying,500,73,114,79,60,114,False
140,Kabuto,Rock,Water,355,34,74,91,48,60,False
18,Pidgeot,Normal,Flying,479,87,85,67,70,99,False
122,Mr. Mime,Psychic,,460,47,48,72,102,88,False
43,Oddish,Grass,Poison,320,43,51,63,66,32,False
132,Ditto,Normal,,288,55,48,50,45,45,False
110,Weezing,Poison,,490,62,97,128,70,62,False
59,Arcanine,Fire,,555,94,120,87,82,89,False
140,Kabuto,Rock,Water,355,33,75,85,54,54,False
2,Ivysaur,Grass,Poison,405,56,71,69,78,54,False
19,Rattata,Normal,,253,34,47,38,30,73,False
7,Squirtle,Water,,314,43,46,75,52,46,False
66,Machop,Fighting,,305,60,80,56,36,36,False
74,Geodude,Rock,Ground,300,38,77,109,32,13,False
9,Blastoise,Water,,530,84,83,104,93,73,False
148,Dragonair,Dragon,,420,54,85,65,74,69,False
48,Venonat,Bug,Poison,305,73,52,45,48,40,False
65,Alakazam,Psychic,,500,52,47,43,115,128,False
107,Hitmonchan,Fighting,,455,45,111,76,74,75,False
24,Arbok,Poison,,438,55,80,68,76,83,False
103,Exeggutor,Grass,Psychic,520,87,103,83,92,62,False
103,Exeggutor,Grass,Psychic,520,101,93,80,92,63,False
129,Magikarp,Water,,200,25,6,63,18,70,False
77,Ponyta,Fire,,410,50,92,52,65,86,False
9,Blastoise,Water,,530,84,83,99,92,81,False
151,Mew,Psychic,,600,111,101,99,97,95,False
80,Slowbro,Water,Psychic,490,86,76,110,93,32,False
151,Mew,Psychic,,600,95,101,104,99,102,False
130,Gyarados,Water,Flying,540,94,120,82,85,74,False
124,Jynx,Ice,Psychic,455,63,59,33,105,90,False
2,Ivysaur,Grass,Poison,405,60,59,61,78,70,False
33,Nidorino,Poison,,365,59,69,62,58,60,False
52,Meowth,Normal,,290,44,35,28,44,96,False
17,Pidgeotto,Normal,Flying,349,67,54,52,52,72,False
75,Graveler,Rock,Ground,390,63,90,111,48,30,False
65,Alakazam,Psychic,,500,62,43,44,120,112,False
21,Spearow,Normal,Flying,262,33,61,30,29,80,False
8,Wartortle,Water,,405,59,56,77,80,53,False
146,Moltres,Fire,Flying,580,89,97,96,110,79,True
18,Pidgeot,Normal,Flying,479,89,86,79,61,103,False
15,Beedrill,Bug,Poison,395,71,97,38,62,66,False
140,Kabuto,Rock,Water,355,23,87,100,50,45,False
49,Venomoth,Bug,Poison,450,71,68,51,87,86,False
136,Flareon,Fire,,525,64,122,67,106,60,False
1,Bulbasaur,Grass,Poison,318,52,58,52,48,59,False
46,Paras,Bug,Grass,285,27,76,69,44,26,False
35,Clefairy,Normal,,323,78,43,40,58,47,False
27,Sandshrew,Ground,,300,49,73,84,21,52,False
96,Drowzee,Psychic,,328,54,44,43,70,46,False
67,Machoke,Fighting,,405,78,109,62,54,49,False
133,Eevee,Normal,,325,59,51,40,63,49,False
31,Nidoqueen,Poison,Ground,505,87,98,80,80,79,False
33,Nidorino,Poison,,365,57,72,63,52,68,False
136,Flareon,Fire,,525,61,133,65,99,68,False
15,Beedrill,Bug,Poison,395,60,87,38,66,79,False
60,Poliwag,Water,,300,46,45,36,40,93,False
20,Raticate,Normal,,413,60,74,58,62,96,False
50,Diglett,Ground,,265,17,57,32,35,89,False
63,Abra,Psychic,,310,17,21,16,84,88,False
118,Goldeen,Water,,320,35,60,61,47,70,False
4,Charmander,Fire,,309,44,51,45,53,63,False
30,Nidorina,Poison,,365,78,63,56,52,64,False
144,Articuno,Ice,Flying,580,85,80,107,114,80,True
4,Charmander,Fire,,309,41,49,52,50,68,False
149,Dragonite,Dragon,Flying,600,87,134,95,100,83,False
89,Muk,Poison,,500,107,104,68,83,55,False
148,Dragonair,Dragon,,420,57,80,63,74,71,False
26,Raichu,Electric,,485,52,100,55,84,111,False
139,Omastar,Rock,Water,495,77,57,125,92,51,False
104,Cubone,Ground,,320,47,48,101,40,43,False
90,Shellder,Water,,305,35,54,99,34,48,False
141,Kabutops,Rock,Water,495,47,118,106,70,83,False
114,Tangela,Grass,,435,56,64,117,69,60,False
80,Slowbro,Water,Psychic,490,109,67,122,83,26,False
114,Tangela,Grass,,435,68,58,117,67,58,False
64,Kadabra,Psychic,,400,41,39,25,97,101,False
65,Alakazam,Psychic,,500,53,53,50,118,108,False
39,Jigglypuff,Normal,,270,124,37,29,28,25,False
11,Metapod,Bug,,205,59,11,51,29,26,False
148,Dragonair,Dragon,,420,65,80,61,68,78,False
90,Shellder,Water,,305,37,71,100,32,32,False
74,Geodude,Rock,Ground,300,34,77,103,36,14,False
86,Seel,Water,,325,58,47,53,60,48,False
98,Krabby,Water,,325,35,110,83,25,47,False
130,Gyarados,Water,Flying,540,104,115,85,82,72,False
81,Magnemite,Electric,,325,20,34,62,77,55,False
63,Abra,Psychic,,310,19,21,25,78,90,False
27,Sandshrew,Ground,,300,59,73,75,29,35,False
51,Dugtrio,Ground,,405,35,74,60,59,118,False
86,Seel,Water,,325,66,46,58,57,41,False
32,Nidoran♂,Poison,,273,45,50,42,45,46,False
137,Porygon,Normal,,395,64,61,72,81,36,False
97,Hypno,Psychic,,483,93,77,64,94,62,False
93,Haunter,Ghost,Poison,405,38,57,48,86,91,False
121,Starmie,Water,Psychic,520,64,67,80,94,121,False
56,Mankey,Fighting,,305,46,69,40,44,63,False
103,Exeggutor,Grass,Psychic,520,105,106,82,88,50,False
5,Charmeleon,Fire,,405,59,59,67,75,70,False
13,Weedle,Bug,Poison,195,42,25,39,18,53,False
34,Nidoking,Poison,Ground,505,89,102,75,78,84,False
13,Weedle,Bug,Poison,195,29,36,35,19,57,False
121,Starmie,Water,Psychic,520,64,71,89,92,112,False
106,Hitmonlee,Fighting,,455,47,123,52,70,93,False
54,Psyduck,Water,,320,60,59,47,51,52,False
134,Vaporeon,Water,,525,126,57,69,105,63,False
110,Weezing,Poison,,490,60,84,127,85,49,False
38,Ninetales,Fire,,505,72,82,73,88,101,False
61,Poliwhirl,Water,,385,65,58,64,55,88,False
58,Growlithe,Fire,,350,62,81,37,58,54,False
3,Venusaur,Grass,Poison,525,83,92,84,94,79,False
101,Electrode,Electric,,480,59,54,79,72,143,False
45,Vileplume,Grass,Poison,490,70,80,86,102,50,False
99,Kingler,Water,,475,63,134,106,44,83,False
151,Mew,Psychic,,600,102,105,92,104,93,False
7,Squirtle,Water,,314,50,48,53,56,51,False
137,Porygon,Normal,,395,66,56,73,84,32,False
91,Cloyster,Water,Ice,525,44,105,174,62,78,False
17,Pidgeotto,Normal,Flying,349,62,60,53,50,75,False
124,Jynx,Ice,Psychic,455,78,54,30,100,92,False
147,Dratini,Dragon,,300,48,59,40,48,58,False
24,Arbok,Poison,,438,53,90,69,72,82,False
79,Slowpoke,Water,Psychic,315,81,72,72,42,6,False
124,Jynx,Ice,Psychic,455,53,57,34,104,102,False
150,Mewtwo,Psychic,,680,102,112,100,122,121,True
62,Poliwrath,Water,Fighting,510,87,89,103,86,58,False
85,Dodrio,Normal,Flying,460,65,102,75,62,95,False
151,Mew,Psychic,,600,98,92,97,102,108,False
123,Scyther,Bug,Flying,500,62,113,82,72,100,False
18,Pidgeot,Normal,Flying,479,89,87,71,64,103,False
56,Mankey,Fighting,,305,47,76,31,41,69,False
131,Lapras,Water,Ice,535,135,88,71,94,54,False
55,Golduck,Water,,500,73,85,87,91,73,False
137,Porygon,Normal,,395,75,52,75,78,37,False
143,Snorlax,Normal,,540,151,115,67,86,34,False
141,Kabutops,Rock,Water,495,63,111,104,66,84,False
62,Poliwrath,Water,Fighting,510,98,90,87,78,78,False
101,Electrode,Electric,,480,62,52,74,80,131,False
132,Ditto,Normal,,288,40,55,49,50,43,False
49,Venomoth,Bug,Poison,450,79,65,57,75,99,False
56,Mankey,Fighting,,305,34,84,36,39,73,False
86,Seel,Water,,325,63,49,45,60,47,False
89,Muk,Poison,,500,97,105,80,83,52,False
114,Tangela,Grass,,435,61,47,125,65,72,False
134,Vaporeon,Water,,525,129,62,66,98,71,False
45,Vileplume,Grass,Poison,490,74,90,77,100,50,False
133,Eevee,Normal,,325,51,49,50,62,52,False
105,Marowak,Ground,,425,70,75,102,65,48,False
34,Nidoking,Poison,Ground,505,78,104,73,78,95,False
11,Metapod,Bug,,205,58,17,46,24,35,False
149,Dragonite,Dragon,Flying,600,93,142,99,96,74,False
21,Spearow,Normal,Flying,262,30,53,36,32,79,False
112,Rhydon,Ground,Rock,485,102,138,113,46,39,False
7,Squirtle,Water,,314,49,53,57,54,48,False
7,Squirtle,Water,,314,53,52,71,52,35,False
114,Tangela,Grass,,435,72,52,125,66,53,False
11,Metapod,Bug,,205,55,21,54,22,30,False
71,Victreebel,Grass,Poison,490,85,111,68,80,66,False
2,Ivysaur,Grass,Poison,405,54,59,58,82,69,False
79,Slowpoke,Water,Psychic,315,89,62,67,44,8,False
121,Starmie,Water,Psychic,520,62,77,93,89,110,False
87,Dewgong,Water,Ice,475,83,64,90,82,74,False
151,Mew,Psychic,,600,98,99,99,103,98,False
6,Charizard,Fire,Flying,534,75,84,87,97,94,False
74,Geodude,Rock,Ground,300,29,75,107,34,22,False
112,Rhydon,Ground,Rock,485,108,131,118,48,32,False
134,Vaporeon,Water,,525,127,75,52,102,66,False
144,Articuno,Ice,Flying,580,83,83,95,112,95,True
28,Sandslash,Ground,,450,76,92,112,50,70,False
47,Parasect,Bug,Grass,405,58,99,89,63,33,False
69,Bellsprout,Grass,Poison,300,56,69,40,46,43,False
104,Cubone,Ground,,320,57,57,104,37,28,False
30,Nidorina,Poison,,365,78,65,60,52,58,False
111,Rhyhorn,Ground,Rock,345,87,87,99,26,19,False
127,Pinsir,Bug,,500,63,113,100,70,85,False
113,Chansey,Normal,,450,255,-1,5,74,42,False
127,Pinsir,Bug,,500,66,123,106,55,95,False
123,Scyther,Bug,Flying,500,64,107,79,70,111,False
9,Blastoise,Water,,530,83,85,95,90,86,False
117,Seadra,Water,,440,52,69,102,68,81,False
76,Golem,Rock,Ground,495,78,113,133,60,50,False
40,Wigglytuff,Normal,,435,149,72,46,66,37,False
49,Venomoth,Bug,Poison,450,67,63,52,86,97,False
122,Mr. Mime,Psychic,,460,35,46,54,113,99,False
111,Rhyhorn,Ground,Rock,345,85,85,105,25,20,False
28,Sandslash,Ground,,450,75,92,119,54,57,False
6,Charizard,Fire,Flying,534,80,82,82,100,90,False
76,Golem,Rock,Ground,495,88,118,132,54,50,False
13,Weedle,Bug,Poison,195,52,28,36,16,46,False
62,Poliwrath,Water,Fighting,510,97,90,101,81,60,False
89,Muk,Poison,,500,110,109,80,78,44,False
