,#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,59,Arcanine,Fire,None,555,82,110,88,105,72,98,1,False
1,107,Hitmonchan,Fighting,None,455,47,97,84,27,121,79,1,False
2,123,Scyther,Bug,Flying,500,63,113,86,56,73,109,1,False
3,35,Clefairy,Fairy,None,323,67,54,46,58,62,36,1,False
4,150,MewtwoMega Mewtwo X,Psychic,Fighting,780,97,193,102,157,98,133,1,True
5,76,Golem,Rock,Ground,495,68,127,137,48,70,45,1,False
6,13,Weedle,Bug,Poison,195,35,41,23,20,31,45,1,False
7,126,Magmar,Fire,None,495,56,91,59,97,89,103,1,False
8,145,Zapdos,Electric,Flying,580,90,97,86,117,87,103,1,True
9,120,Staryu,Water,None,340,25,56,60,69,52,78,1,False
10,94,Gengar,Ghost,Poison,500,57,67,52,130,71,123,1,False
11,29,Nidoran♀,Poison,None,275,61,54,57,37,31,35,1,False
12,10,Caterpie,Bug,None,195,35,22,31,28,28,51,1,False
13,134,Vaporeon,Water,None,525,131,65,71,101,87,70,1,False
14,6,CharizardMega Charizard X,Fire,Dragon,634,71,128,121,130,77,107,1,False
15,133,Eevee,Normal,None,325,62,49,60,39,69,46,1,False
16,129,Magikarp,Water,None,200,28,6,50,16,18,82,1,False
17,47,Parasect,Bug,Grass,405,69,86,77,58,77,38,1,False
18,46,Paras,Bug,Grass,285,34,75,50,50,58,18,1,False
19,150,Mewtwo,Psychic,None,680,109,108,91,153,83,136,1,True
20,84,Doduo,Normal,Flying,310,39,92,37,42,33,67,1,False
21,11,Metapod,Bug,None,205,50,13,59,32,29,22,1,False
22,108,Lickitung,Normal,None,385,92,45,81,65,82,20,1,False
23,66,Machop,Fighting,None,305,61,89,53,33,35,34,1,False
24,70,Weepinbell,Grass,Poison,390,68,82,43,94,45,58,1,False
25,125,Electabuzz,Electric,None,490,62,77,48,96,92,115,1,False
26,29,Nidoran♀,Poison,None,275,60,42,51,41,34,47,1,False
27,48,Venonat,Bug,Poison,305,56,60,42,37,62,48,1,False
28,109,Koffing,Poison,None,340,45,58,107,55,46,29,1,False
29,142,Aerodactyl,Rock,Flying,515,92,98,58,70,74,123,1,False
30,3,Venusaur,Grass,Poison,525,76,84,87,106,102,70,1,False
31,64,Kadabra,Psychic,None,400,51,30,29,119,64,107,1,False
32,12,Butterfree,Bug,Flying,395,57,55,44,84,87,68,1,False
33,62,Poliwrath,Water,Fighting,510,93,105,93,61,87,71,1,False
34,71,Victreebel,Grass,Poison,490,81,95,60,102,76,76,1,False
35,73,Tentacruel,Water,Poison,515,79,70,55,85,124,102,1,False
36,123,Scyther,Bug,Flying,500,73,114,79,49,71,114,1,False
37,140,Kabuto,Rock,Water,355,34,74,91,52,44,60,1,False
38,18,Pidgeot,Normal,Flying,479,87,85,67,69,72,99,1,False
39,122,Mr. Mime,Psychic,Fairy,460,47,48,72,92,113,88,1,False
40,43,Oddish,Grass,Poison,320,43,51,63,68,63,32,1,False
41,132,Ditto,Normal,None,288,55,48,50,42,48,45,1,False
42,110,Weezing,Poison,None,490,62,97,128,83,58,62,1,False
43,59,Arcanine,Fire,None,555,94,120,87,93,72,89,1,False
44,140,Kabuto,Rock,Water,355,33,75,85,61,47,54,1,False
45,2,Ivysaur,Grass,Poison,405,56,71,69,70,85,54,1,False
46,19,Rattata,Normal,None,253,34,47,38,28,33,73,1,False
47,7,Squirtle,Water,None,314,43,46,75,46,58,46,1,False
48,66,Machop,Fighting,None,305,60,80,56,38,35,36,1,False
49,80,SlowbroMega Slowbro,Water,Psychic,590,97,75,173,135,81,29,1,False
50,74,Geodude,Rock,Ground,300,38,77,109,33,30,13,1,False
51,6,CharizardMega Charizard Y,Fire,Flying,634,72,113,79,158,117,95,1,False
52,9,Blastoise,Water,None,530,84,83,104,80,106,73,1,False
53,148,Dragonair,Dragon,None,420,54,85,65,71,76,69,1,False
54,48,Venonat,Bug,Poison,305,73,52,45,41,54,40,1,False
55,65,Alakazam,Psychic,None,500,52,47,43,137,93,128,1,False
56,107,Hitmonchan,Fighting,None,455,45,111,76,36,112,75,1,False
57,24,Arbok,Poison,None,438,55,80,68,74,78,83,1,False
