HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Legendary,Name
29,59,103,40,39,35,Water,,False,Shellder
33,47,48,151,92,110,Psychic,,False,Alakazam
54,73,53,75,67,118,Normal,,False,Persian
69,94,127,143,99,103,Water,,False,BlastoiseMega Blastoise
41,73,42,24,53,72,Fighting,,False,Mankey
39,66,103,48,20,49,Water,,False,Shellder
105,62,115,108,80,35,Water,Psychic,False,Slowbro
61,113,39,26,110,87,Fighting,,False,Hitmonlee
60,37,47,143,86,125,Psychic,,False,Alakazam
64,74,67,56,62,62,Normal,Flying,False,Farfetch'd
49,48,32,53,16,68,Normal,Flying,False,Pidgey
45,73,70,22,28,36,Ground,,False,Sandshrew
44,86,64,41,39,28,Bug,Grass,False,Paras
43,35,44,65,48,46,Normal,,False,Eevee
34,86,85,47,100,67,Fighting,,False,Hitmonchan
10,14,57,20,21,78,Water,,False,Magikarp
48,51,76,82,80,51,Normal,,False,Porygon
79,88,77,116,79,89,Fire,Flying,True,Moltres
18,50,32,20,27,72,Normal,Flying,False,Spearow
7,59,7,36,61,102,Ground,,False,Diglett
37,54,34,31,55,88,Electric,,False,Pikachu
83,39,38,80,63,43,Fairy,,False,Clefairy
115,114,74,48,96,39,Poison,,False,Muk
77,98,43,85,47,58,Grass,Poison,False,Weepinbell
49,54,55,46,44,68,Normal,Flying,False,Farfetch'd
169,107,73,60,105,26,Normal,,False,Snorlax
35,89,40,38,38,70,Normal,Flying,False,Doduo
87,93,85,130,79,111,Electric,Flying,True,Zapdos
69,76,94,76,104,105,Fire,,False,Ninetales
54,22,26,43,49,72,Normal,,False,Meowth
31,112,184,63,57,79,Water,Ice,False,Cloyster
17,82,71,73,32,79,Rock,Water,False,Kabuto
48,50,52,44,62,54,Grass,Poison,False,Bulbasaur
49,78,41,66,48,57,Fire,,False,Growlithe
130,35,13,39,27,14,Normal,Fairy,False,Jigglypuff
78,81,98,80,131,77,Ice,Flying,True,Articuno
29,80,83,63,37,63,Rock,Water,False,Kabuto
