HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Legendary,Name
68,63,60,70,63,81,Fire,,False,Charmeleon
98,96,88,119,84,95,Fire,Flying,True,Moltres
57,51,44,43,82,51,Psychic,,False,Drowzee
66,58,65,56,59,61,Poison,,False,Nidorina
61,102,52,99,93,88,Fire,,False,Magmar
13,41,22,38,49,102,Ground,,False,Diglett
70,31,85,68,35,36,Grass,Psychic,False,Exeggcute
36,50,50,72,61,49,Grass,Poison,False,Bulbasaur
52,100,55,89,78,111,Electric,,False,Raichu
15,63,18,26,51,92,Ground,,False,Diglett
65,40,75,81,86,133,Electric,,False,Electrode
141,72,39,93,46,44,Normal,Fairy,False,Wigglytuff
65,45,50,60,77,26,Fairy,,False,Clefairy
95,134,90,64,111,96,Normal,,False,KangaskhanMega Kangaskhan
56,44,81,83,78,138,Electric,,False,Electrode
33,27,23,103,36,88,Ghost,Poison,False,Gastly
57,156,111,72,89,115,Bug,Flying,False,PinsirMega Pinsir
81,68,73,85,116,92,Water,Poison,False,Tentacruel
98,99,99,103,103,98,Psychic,,False,Mew
76,53,119,97,31,59,Grass,,False,Tangela
41,87,57,71,66,88,Fire,,False,Ponyta
39,77,44,37,56,32,Bug,Grass,False,Paras
58,51,103,130,58,65,Electric,Steel,False,Magneton
47,62,38,33,45,48,Poison,,False,Nidoran♂
55,54,54,32,37,43,Poison,,False,Nidoran♀
87,103,83,126,59,62,Grass,Psychic,False,Exeggutor
42,97,189,85,40,72,Water,Ice,False,Cloyster
43,63,51,49,51,28,Bug,Grass,False,Paras
70,50,64,82,78,136,Electric,,False,Electrode
77,92,62,63,84,72,Water,,False,Seaking
76,137,78,78,105,141,Rock,Flying,False,AerodactylMega Aerodactyl
40,52,31,17,36,77,Normal,,False,Rattata
64,69,63,97,64,93,Bug,Poison,False,Venomoth
11,19,56,14,24,76,Water,,False,Magikarp
79,65,57,82,68,99,Bug,Poison,False,Venomoth
58,63,53,57,54,64,Normal,Flying,False,Pidgeotto
89,130,77,63,98,158,Rock,Flying,False,AerodactylMega Aerodactyl
93,62,77,78,94,71,Water,Ice,False,Dewgong
50,92,52,55,75,86,Fire,,False,Ponyta
85,75,82,73,92,68,Water,Ice,False,Dewgong
39,68,53,35,62,63,Water,,False,Goldeen
41,55,52,52,44,56,Dragon,,False,Dratini
73,59,68,54,47,84,Water,,False,Poliwhirl
62,52,53,89,76,63,Bug,Flying,False,Butterfree
50,69,79,75,79,53,Water,,False,Wartortle
39,48,49,55,57,52,Dragon,,False,Dratini
75,88,72,57,73,90,Poison,Flying,False,Golbat
68,59,76,175,99,123,Ghost,Poison,False,GengarMega Gengar
81,118,121,62,75,38,Rock,Ground,False,Golem
89,75,80,131,81,123,Normal,Flying,False,PidgeotMega Pidgeot
70,119,76,55,79,101,Bug,Flying,False,Scyther
50,51,98,42,51,28,Ground,,False,Cubone
73,114,120,127,124,72,Water,,False,BlastoiseMega Blastoise
74,69,64,109,87,122,Electric,,False,Jolteon
84,97,98,72,90,69,Water,Fighting,False,Poliwrath
61,55,68,163,92,151,Psychic,,False,AlakazamMega Alakazam
77,94,73,67,77,91,Normal,Flying,False,Pidgeot
93,69,70,32,39,12,Water,Psychic,False,Slowpoke
71,70,75,87,116,96,Water,Poison,False,Tentacruel
66,59,64,55,56,85,Water,,False,Poliwhirl
68,80,50,47,54,66,Poison,,False,Nidorino
96,118,81,70,93,47,Fighting,,False,Machamp
62,38,79,51,58,37,Grass,Psychic,False,Exeggcute
78,54,118,117,76,52,Rock,Water,False,Omastar
103,135,114,42,52,39,Ground,Rock,False,Rhydon
59,81,55,98,95,102,Electric,,False,Electabuzz
70,114,61,106,73,66,Grass,Poison,False,Victreebel
19,10,64,9,11,87,Water,,False,Magikarp
62,137,54,99,115,58,Fire,,False,Flareon
80,109,80,51,76,104,Bug,Flying,False,Scyther
61,152,126,57,97,107,Bug,Flying,False,PinsirMega Pinsir
54,62,82,166,101,135,Ghost,Poison,False,GengarMega Gengar
89,62,67,45,44,8,Water,Psychic,False,Slowpoke
53,70,80,76,75,51,Water,,False,Wartortle
35,77,41,40,42,75,Normal,Flying,False,Doduo
92,71,110,100,83,34,Water,Psychic,False,Slowbro
124,86,88,86,99,52,Water,Ice,False,Lapras
9,64,14,42,45,91,Ground,,False,Diglett
59,59,67,88,62,70,Fire,,False,Charmeleon
44,49,51,50,57,37,Normal,,False,Ditto
33,51,44,67,64,81,Water,,False,Staryu
42,83,29,66,40,40,Grass,Poison,False,Bellsprout
31,48,99,93,48,36,Rock,Water,False,Omanyte
60,59,47,62,40,52,Water,,False,Psyduck
57,83,69,66,71,74,Dragon,,False,Dragonair
43,52,63,71,63,28,Grass,Poison,False,Oddish
82,73,72,139,83,130,Normal,Flying,False,PidgeotMega Pidgeot
31,66,32,36,31,66,Normal,Flying,False,Spearow
58,44,49,46,91,40,Psychic,,False,Drowzee
61,69,82,168,96,124,Ghost,Poison,False,GengarMega Gengar
27,34,72,92,62,38,Electric,Steel,False,Magnemite
43,61,40,35,53,56,Poison,,False,Ekans
42,20,45,34,30,34,Bug,Poison,False,Kakuna
53,59,89,75,76,53,Water,,False,Wartortle
35,74,60,42,76,118,Ground,,False,Dugtrio
97,99,80,58,105,61,Poison,,False,Muk
65,50,118,100,45,57,Grass,,False,Tangela
51,68,52,35,59,55,Water,,False,Goldeen
67,54,52,47,57,72,Normal,Flying,False,Pidgeotto
62,84,43,100,77,119,Electric,,False,Raichu
87,134,95,97,104,83,Dragon,Flying,False,Dragonite
57,102,62,55,59,107,Normal,Flying,False,Fearow
41,34,71,64,19,66,Water,,False,Horsea
34,60,29,28,30,72,Normal,,False,Rattata
19,61,17,32,51,85,Ground,,False,Diglett
75,49,49,54,66,30,Fairy,,False,Clefairy
62,92,60,103,80,98,Fire,,False,Magmar
44,95,181,85,42,78,Water,Ice,False,Cloyster
96,133,89,64,79,44,Fighting,,False,Machamp
26,42,96,98,65,28,Rock,Water,False,Omanyte
20,48,57,75,61,79,Water,,False,Staryu
90,71,84,130,84,120,Normal,Flying,False,PidgeotMega Pidgeot
58,58,59,79,79,72,Grass,Poison,False,Ivysaur
77,79,70,65,82,82,Poison,Flying,False,Golbat
154,117,66,59,108,36,Normal,,False,Snorlax
90,82,76,92,78,82,Water,,False,Golduck
65,80,72,58,86,77,Poison,,False,Arbok
60,74,90,96,45,75,Water,,False,Seadra
101,96,83,42,85,83,Normal,,False,Kangaskhan
56,66,47,39,65,52,Normal,,False,Eevee
65,65,37,70,48,65,Fire,,False,Growlithe
88,66,88,69,102,62,Water,Ice,False,Dewgong
65,56,59,71,90,64,Grass,Poison,False,Ivysaur
56,58,62,82,87,60,Grass,Poison,False,Ivysaur
64,50,35,141,99,111,Psychic,,False,Alakazam
45,59,48,40,30,51,Poison,,False,Nidoran♂
88,85,107,94,124,82,Ice,Flying,True,Articuno
20,41,60,72,56,91,Water,,False,Staryu
66,50,55,44,57,33,Bug,Poison,False,Venonat
83,100,80,128,68,61,Grass,Psychic,False,Exeggutor
43,97,182,90,37,76,Water,Ice,False,Cloyster
37,23,47,23,34,41,Bug,Poison,False,Kakuna
102,71,110,100,75,32,Water,Psychic,False,Slowbro
45,26,27,119,82,101,Psychic,,False,Kadabra
89,85,67,70,76,92,Normal,Flying,False,Pidgeot
82,110,127,115,119,72,Grass,Poison,False,VenusaurMega Venusaur
24,12,18,105,59,92,Psychic,,False,Abra
33,80,30,41,43,78,Fighting,,False,Mankey
44,48,33,55,96,59,Water,Poison,False,Tentacool
98,126,128,52,46,35,Ground,Rock,False,Rhydon
37,33,39,48,103,75,Water,Poison,False,Tentacool
86,73,60,77,119,68,Psychic,,False,Hypno
40,62,57,46,54,26,Bug,Grass,False,Paras
90,115,73,93,78,106,Fire,,False,Arcanine
247,1,9,26,108,60,Normal,,False,Chansey
61,93,118,91,75,52,Poison,,False,Weezing
110,125,126,40,44,40,Ground,Rock,False,Rhydon
36,106,83,19,26,55,Water,,False,Krabby
68,67,72,50,59,49,Poison,,False,Nidorina
81,72,72,39,45,6,Water,Psychic,False,Slowpoke
42,54,46,56,52,59,Fire,,False,Charmander
