method,LinR_MSE,LinR_R2,Lasso_MSE,Lasso_R2,Ridge_MSE,Ridge_R2
No reduction,0.0,1.0,2.878633150039277,0.9997795811299226,0.0,1.0
PCA 1,739.6107619795758,0.943367508134753,740.0223880597015,0.9433359896498518,739.6956009426551,0.9433610119584757
PCA 2,718.3130400628437,0.94499828897949,720.4611154752553,0.9448338094051343,718.4630793401413,0.944986800371444
PCA 3,657.9124116260801,0.9496232055902833,660.8142183817754,0.9494010123016857,658.1488609583661,0.9496051005063992
PCA 4,652.29379418696,0.9500534268942071,656.9371563236449,0.9496978815425827,652.7352710133542,0.9500196227176527
PCA 5,180.7254516889238,0.9861617310094,186.97172034564022,0.9856834500309798,180.76119402985074,0.9861589941943942
PCA 6,144.31893165750196,0.988949402654419,153.03495679497252,0.9882820107665915,144.2639434406913,0.9889536131390433
PCA 7,98.413982717989,0.9924643753684902,107.07462686567165,0.991801224040177,98.60133542812254,0.9924500296458777
PCA 8,0.0,1.0,8.496072270227808,0.9993494500506693,0.0,1.0
GRP 1,3488.354673998429,0.7328943440877518,3486.351139041634,0.7330477561025239,3488.4768263943442,0.732884990796908
GRP 2,3263.9862529457973,0.7500743844999171,3260.441084053417,0.750345840458618,3264.1956009426553,0.7500583545834549
GRP 3,2487.9556166535745,0.809495570556449,2503.9901806755697,0.8082677932400293,2487.934014139827,0.8094972246754086
GRP 4,2441.8322859387276,0.8130272649094563,2502.5813040062844,0.8083756718710797,2443.4186959937156,0.8129057924280478
GRP 5,1548.0420267085624,0.8814653842380756,1667.2690494893952,0.8723360911763023,1548.3707776904948,0.881440211555001
GRP 6,579.1547525530243,0.9556537323430888,645.9890023566379,0.9505361890312629,579.8849175176748,0.9555978231222574
GRP 7,523.4469756480754,0.959919314166096,602.0196386488609,0.9539029526865619,524.3841319717203,0.9598475554781434
GRP 8,482.3558523173606,0.9630656890262076,579.6347211311862,0.9556169808272975,489.5019638648861,0.9625185064744013
