#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
59,Arcanine,Fire,,555,82,110,88,105,72,98,1,False
107,Hitmonchan,Fighting,,455,47,97,84,27,121,79,1,False
123,Scyther,Bug,Flying,500,63,113,86,56,73,109,1,False
35,Clefairy,Fairy,,323,67,54,46,58,62,36,1,False
150,MewtwoMega Mewtwo X,Psychic,Fighting,780,97,193,102,157,98,133,1,True
76,Golem,Rock,Ground,495,68,127,137,48,70,45,1,False
13,Weedle,Bug,Poison,195,35,41,23,20,31,45,1,False
126,Magmar,Fire,,495,56,91,59,97,89,103,1,False
145,Zapdos,Electric,Flying,580,90,97,86,117,87,103,1,True
120,Staryu,Water,,340,25,56,60,69,52,78,1,False
94,Gengar,Ghost,Poison,500,57,67,52,130,71,123,1,False
29,Nidoran♀,Poison,,275,61,54,57,37,31,35,1,False
10,Caterpie,Bug,,195,35,22,31,28,28,51,1,False
134,Vaporeon,Water,,525,131,65,71,101,87,70,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,71,128,121,130,77,107,1,False
133,Eevee,Normal,,325,62,49,60,39,69,46,1,False
129,Magikarp,Water,,200,28,6,50,16,18,82,1,False
47,Parasect,Bug,Grass,405,69,86,77,58,77,38,1,False
46,Paras,Bug,Grass,285,34,75,50,50,58,18,1,False
150,Mewtwo,Psychic,,680,109,108,91,153,83,136,1,True
84,Doduo,Normal,Flying,310,39,92,37,42,33,67,1,False
11,Metapod,Bug,,205,50,13,59,32,29,22,1,False
108,Lickitung,Normal,,385,92,45,81,65,82,20,1,False
66,Machop,Fighting,,305,61,89,53,33,35,34,1,False
70,Weepinbell,Grass,Poison,390,68,82,43,94,45,58,1,False
125,Electabuzz,Electric,,490,62,77,48,96,92,115,1,False
29,Nidoran♀,Poison,,275,60,42,51,41,34,47,1,False
48,Venonat,Bug,Poison,305,56,60,42,37,62,48,1,False
109,Koffing,Poison,,340,45,58,107,55,46,29,1,False
142,Aerodactyl,Rock,Flying,515,92,98,58,70,74,123,1,False
3,Venusaur,Grass,Poison,525,76,84,87,106,102,70,1,False
64,Kadabra,Psychic,,400,51,30,29,119,64,107,1,False
12,Butterfree,Bug,Flying,395,57,55,44,84,87,68,1,False
62,Poliwrath,Water,Fighting,510,93,105,93,61,87,71,1,False
71,Victreebel,Grass,Poison,490,81,95,60,102,76,76,1,False
73,Tentacruel,Water,Poison,515,79,70,55,85,124,102,1,False
123,Scyther,Bug,Flying,500,73,114,79,49,71,114,1,False
140,Kabuto,Rock,Water,355,34,74,91,52,44,60,1,False
18,Pidgeot,Normal,Flying,479,87,85,67,69,72,99,1,False
122,Mr. Mime,Psychic,Fairy,460,47,48,72,92,113,88,1,False
43,Oddish,Grass,Poison,320,43,51,63,68,63,32,1,False
132,Ditto,Normal,,288,55,48,50,42,48,45,1,False
110,Weezing,Poison,,490,62,97,128,83,58,62,1,False
59,Arcanine,Fire,,555,94,120,87,93,72,89,1,False
140,Kabuto,Rock,Water,355,33,75,85,61,47,54,1,False
2,Ivysaur,Grass,Poison,405,56,71,69,70,85,54,1,False
19,Rattata,Normal,,253,34,47,38,28,33,73,1,False
7,Squirtle,Water,,314,43,46,75,46,58,46,1,False
66,Machop,Fighting,,305,60,80,56,38,35,36,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,97,75,173,135,81,29,1,False
74,Geodude,Rock,Ground,300,38,77,109,33,30,13,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,72,113,79,158,117,95,1,False
9,Blastoise,Water,,530,84,83,104,80,106,73,1,False
148,Dragonair,Dragon,,420,54,85,65,71,76,69,1,False
48,Venonat,Bug,Poison,305,73,52,45,41,54,40,1,False
65,Alakazam,Psychic,,500,52,47,43,137,93,128,1,False
107,Hitmonchan,Fighting,,455,45,111,76,36,112,75,1,False
24,Arbok,Poison,,438,55,80,68,74,78,83,1,False
103,Exeggutor,Grass,Psychic,520,87,103,83,126,59,62,1,False
103,Exeggutor,Grass,Psychic,520,101,93,80,122,61,63,1,False
129,Magikarp,Water,,200,25,6,63,15,21,70,1,False
